0;6;Control;next
1;7;Association;start
2;10;Association;start
2;11;Association;0
3;15;Association;start
3;16;Association;0
3;17;Association;1
4;24;Association;start
7;9;Control;next
9;8;Data;value
10;14;Control;next
13;12;Data;left
13;11;Data;right
14;13;Data;value
15;20;Control;next
20;22;Control;next
20;18;Data;object
20;19;Data;property
22;23;Control;next
22;20;Data;callee
22;21;Data;0
22;16;Data;1
22;17;Data;2
24;25;Control;next
25;26;Control;next
25;1;Data;callee
26;27;Control;next
26;2;Data;callee
26;25;Data;0
27;28;Control;next
27;3;Data;callee
27;25;Data;0
27;26;Data;1
