0;Start;Control;Start
1;Symbol;Data;getUserInput
2;Symbol;Data;sendToSink
3;Symbol;Data;testEarlyReturnFlow
4;Symbol;Data;_globals
5;Return;Control;Return
6;Start;Control;Start
7;Literal;Data;"""user_input"""
8;Return;Control;Return
9;Start;Control;Start
10;Parameter;Data;0
11;Parameter;Data;1
12;Symbol;Data;console
13;Symbol;Data;log
14;Load;Compound;Load
15;Literal;Data;"""sink:"""
16;Call;Compound;Call
17;Return;Control;Return
18;Start;Control;Start
19;Call;Compound;Call
20;Literal;Data;0
21;Symbol;Data;length
22;Load;Compound;Load
23;BinaryOperation;Data;>
24;Branch;Control;Branch
25;Literal;Data;"""early_return"""
26;Call;Compound;Call
27;Return;Control;Return
28;BlockStart;Control;BlockStart
29;BlockEnd;Control;BlockEnd
30;BlockStart;Control;BlockStart
31;BlockEnd;Control;BlockEnd
32;Merge;Control;Merge
33;Return;Control;Return
