0;Start;Control;Start
1;Symbol;Data;getUserInput
2;Symbol;Data;maybeTransform
3;Symbol;Data;sendToSink
4;Symbol;Data;testMoreFlows
5;Symbol;Data;_globals
6;Return;Control;Return
7;Start;Control;Start
8;Literal;Data;"""user_input"""
9;Return;Control;Return
10;Start;Control;Start
11;Parameter;Data;0
12;Symbol;Data;includes
13;Load;Compound;Load
14;Literal;Data;"""x"""
15;Call;Compound;Call
16;Branch;Control;Branch
17;Literal;Data;"""x_"""
18;BinaryOperation;Data;+
19;BlockStart;Control;BlockStart
20;BlockEnd;Control;BlockEnd
21;Literal;Data;"""x"""
22;BlockStart;Control;BlockStart
23;BlockEnd;Control;BlockEnd
24;Merge;Control;Merge
25;Phi;Data;Phi
26;Return;Control;Return
27;Start;Control;Start
28;Parameter;Data;0
29;Parameter;Data;1
30;Symbol;Data;console
31;Symbol;Data;log
32;Load;Compound;Load
33;Literal;Data;"""sink:"""
34;Call;Compound;Call
35;Return;Control;Return
36;Start;Control;Start
37;Call;Compound;Call
38;Call;Compound;Call
39;Literal;Data;"""fallback"""
40;Call;Compound;Call
41;Return;Control;Return
